Hash,Contributor,Date & Time,Change
bd12419,Roberto Rivera,"Thu, 3 Oct 2019 15:10:13 -0400","FEATURE: Explained what is the mv command, why do you do it and how do you do it."
366f687,Roberto Rivera,"Thu, 3 Oct 2019 15:02:05 -0400","FEATURE: Explained what is the pwd command, why do you do it and how do you do it."
8e07e40,Roberto Rivera,"Thu, 3 Oct 2019 14:51:18 -0400","FEATURE: Explained what is the cp command, why do you do it and how do you do it."
Dec-58,Roberto Rivera,"Wed, 2 Oct 2019 19:50:33 -0400",FEATURES:explained the mkdir command
af9d05a,Harrison Lu,"Wed, 2 Oct 2019 19:27:47 -0400",FEATURE: Created Repository definition document
706151c,Roberto Rivera,"Wed, 2 Oct 2019 19:18:47 -0400",FEATURE: created the entry for the defintion of cd
bfe706b,Roberto Rivera,"Wed, 2 Oct 2019 18:56:00 -0400",Removed a line
1ec9749,Harrison Lu,"Wed, 2 Oct 2019 12:53:02 -0400",EDIT: Changed the instructions to fix --set-upstream-to command
2a7d150,Harrison Lu,"Wed, 2 Oct 2019 12:42:41 -0400",EDIT: Minor change to howtobranchandmerge.md
6919889,Harrison Lu,"Wed, 2 Oct 2019 12:36:29 -0400",TASK: Created short guide to branch/merge for groupmates
61e8643,Harrison Lu,"Wed, 2 Oct 2019 11:49:36 -0400",TASK: Added Harrison Lu as assigned to Section 2
a1fd5a7,Harrison Lu,"Mon, 30 Sep 2019 15:40:00 -0400",TASK - Renamed and edited each sections README files for consistency
9f378b5,Harrison Lu,"Mon, 30 Sep 2019 13:08:13 -0400",FIX - Finally used Markdown Editor to properly format README.md
d79b119,Harrison Lu,"Mon, 30 Sep 2019 12:38:50 -0400","FIX - Ugh, goofed again on formatting to README.md"
f334845,Harrison Lu,"Mon, 30 Sep 2019 12:35:47 -0400",FIX - Additional additional formatting fixes to README.md
c0a8065,Harrison Lu,"Mon, 30 Sep 2019 12:26:12 -0400",Additional formatting fixes to README.md
7ee996b,Harrison Lu,"Mon, 30 Sep 2019 12:16:49 -0400",FIX - Formatting fixes to README.md
e5c3dbe,Harrison Lu,"Mon, 30 Sep 2019 12:07:33 -0400",FEATURE - Created Changelog section in README.md and added changelog up through 9/30/19 12:00pm
abd65d0,Harrison Lu,"Mon, 30 Sep 2019 11:57:48 -0400","TASK - Moved text from TasksandAssignments.md to README.md, deleted TasksandAssignments.md"
843c404,Harrison Lu,"Mon, 30 Sep 2019 10:58:03 -0400",TASK - Restructured folders so each section has individual folder.
c6949ff,Harrison Lu,"Mon, 30 Sep 2019 10:38:20 -0400",TASK: Added instructions for README.md
e124d17,Harrison Lu,"Mon, 30 Sep 2019 10:21:19 -0400",FEATURE: Created section4sources.md and filled in TasksandAssignments.md with info from canvas site
868c326,Harrison Lu,"Wed, 25 Sep 2019 22:41:34 -0400",TASK: Created TasksandAssignments.md for task/checklist tracking
3fe2cd0,Harrison Lu,"Wed, 25 Sep 2019 22:28:50 -0400",TASK: Created separate docs for each section/person
c103305,hl533,"Wed, 25 Sep 2019 22:15:17 -0400",Initial commit
